Rank,University,Country,Score,Enrollment
775,Universidad de la Laguna,Spain,,
775,University of New Hampshire,United States,,
775,University of Stirling,United Kingdom,,
781,Tabriz University of Medical Science,Iran,,
781,Universidad de Antioquia,Colombia,,
781,University of Stuttgart,Germany,,
781,University of Vigo,Spain,,
785,Aga Khan University,Pakistan,,
785,Babes-Bolyai University,Romania,,
785,Illinois Institute of Technology,United States,,
785,University of Mannheim,Germany,,
785,Victoria University,Australia,,
790,Fujian Normal University,China,,
790,University of Wuppertal,Germany,,
790,University of Zaragoza,Spain,,
793,London Business School,United Kingdom,,
793,Northeast Normal University - China,China,,
793,Saint Petersburg State University,Russia,,
793,University of Texas Arlington,United States,,
797,Bournemouth University,United Kingdom,,
797,Charles Darwin University,Australia,,
797,Universidade Federal de Santa Catarina (UFSC),Brazil,,
797,Universitat Rovira i Virgili,Spain,,
797,University of Salamanca,Spain,,
802,Ankara University,Turkey,,
802,Bar Ilan University,Israel,,
802,Manipal Academy of Higher Education,India,,
802,Shaanxi Normal University,China,,
806,Carol Davila University of Medicine & Pharmacy,Romania,,
806,Comenius University Bratislava,Slovakia,,
806,University of Arkansas,United States,,
809,University of Nevada Reno,United States,,
810,Mashhad University of Medical Sciences,Iran,,
810,Mississippi State University,United States,,
810,Mohammed V University in Rabat,Taiwan,,
810,Nguyen Tat Thanh University (NTTU),,,
810,Ohio University,United States,,
810,Prince Mohammad Bin Fahd University,Saudi Arabia,,
810,University of Ghana,Ghana,,
817,Brigham Young University,United States,,
817,Cranfield University,United Kingdom,,
817,University of Murcia,Spain,,
817,University of Szeged,Hungary,,
817,Villanova University,United States,,
822,Istanbul University,Turkey,,
822,Keele University,United Kingdom,,
822,San Diego State University,United States,,
822,Universidad de Concepcion,Chile,,
822,Universiti Teknologi Petronas,Malaysia,,
827,Central Queensland University,Taiwan,,
827,Hassan II University of Casablanca,Taiwan,,
827,University of Agder,Norway,,
827,University of Delhi,India,,
827,University of Massachusetts Boston,United States,,
827,Utah State University,United States,,
833,Beijing Technology & Business University,China,,
833,City College of New York (CUNY),United States,,
835,Bilkent University,Turkey,,
835,Orebro University,Sweden,,
835,University of Bayreuth,Germany,,
835,University of Rostock,Germany,,
839,Missouri University of Science and Technology,United States,,
839,Montana State University Bozeman,United States,,
841,Edinburgh Napier University,United Kingdom,,
841,Indiana University Indianapolis,United States,,
841,Shiraz University of Medical Sciences,Iran,,
841,Sichuan Agricultural University,China,,
841,Universitat de les Illes Balears,Spain,,
841,Yangzhou University,China,,
847,AGH University of Krakow,Poland,,
847,California State University Los Angeles,United States,,
847,China Pharmaceutical University,China,,
847,Indian Institute of Technology (IIT) - Kanpur,India,,
847,Southwest University of Science & Technology - China,China,,
847,Universiti Malaysia Terengganu,Malaysia,,
847,University of Canberra,Australia,,
847,University of Maryland Baltimore County,United States,,
847,University of Quebec Montreal,Canada,,
856,Dublin City University,Ireland,,
857,Chiba University,Japan,,
857,Iran University of Medical Sciences,Iran,,
857,Iran University of Science and Technology,Iran,,
857,Kwame Nkrumah University Science & Technology,Ghana,,
857,Shahid Beheshti University Medical Sciences,Iran,,
857,University Hohenheim,Germany,,
857,University of Ioannina,Greece,,
864,Charles Sturt University,Australia,,
864,Universidade de Brasilia,Brazil,,
864,University of Calabria,Italy,,
864,Yeungnam University,South Korea,,
868,Guangxi University,China,,
869,Novosibirsk State University,Russia,,
869,University of South Africa,South Africa,,
869,University of Wyoming,United States,,
869,Wuhan University of Science & Technology,China,,
873,Foshan University,China,,
873,New Jersey Institute of Technology,United States,,
873,Tomsk State University,Russia,,
873,University of Alcala,Spain,,
877,Anhui University,China,,
877,Ewha Womans University,South Korea,,
877,Indian Institute of Technology (IIT) - Roorkee,India,,
877,Sohag University,Egypt,,
877,Southern Methodist University,United States,,
877,University of Indonesia,Indonesia,,
877,University of Patras,Greece,,
884,Bayero University,Nigeria,,
884,Birkbeck University London,United Kingdom,,
884,Jiangsu University of Science & Technology,China,,
884,Port Said University,Egypt,,
884,Scuola Superiore Sant'Anna,Italy,,
884,UCSI University,Malaysia,,
884,Wuhan Institute of Technology,China,,
891,Gorgan University of Agricultural Sciences & Natural Resources,Iran,,
891,Huzhou University,China,,
891,National Taiwan University of Science and Technology,Taiwan,,
891,Northeast Agricultural University - China,China,,
891,Open University - UK,United Kingdom,,
891,Ulster University,United Kingdom,,
897,All India Institute of Medical Sciences (AIIMS) New Delhi,India,,
897,Imam Mohammad Ibn Saud Islamic University (IMSIU),Saudi Arabia,,
897,University of Hertfordshire,United Kingdom,,
897,University of Salento,Italy,,
901,Fayoum University,Egypt,,
901,Free University of Bozen-Bolzano,Italy,,
901,Guangzhou Medical University,China,,
901,Jeonbuk National University,South Korea,,
901,Michigan Technological University,United States,,
901,Skolkovo Institute of Science & Technology,Russia,,
901,University of Peshawar,Pakistan,,
908,Isfahan University of Technology,Iran,,
908,ITMO University,Russia,,
908,Loyola University Chicago,United States,,
911,Shanghai Maritime University,China,,
911,University of Montana,United States,,
913,Guizhou University,China,,
913,Qassim University,Saudi Arabia,,
913,"Royal Holloway, University of London",United Kingdom,,
913,State University of New York (SUNY) Upstate Medical Center,United States,,
913,The American University in Cairo,Egypt,,
913,University of Cape Coast,Ghana,,
919,Otto von Guericke University,Germany,,
919,Peter the Great St. Petersburg Polytechnic University,Russia,,
919,Tribhuvan University,Nepal,,
919,University of Malta,Malta,,
919,University of New Brunswick,Canada,,
919,University of New England,Australia,,
919,University of Petroleum & Energy Studies (UPES),India,,
926,Adam Mickiewicz University,Poland,,
926,Bahauddin Zakariya University,Pakistan,,
926,Royal College of Surgeons - Ireland,Ireland,,
926,Shanxi University,China,,
930,National Taiwan Normal University,Taiwan,,
930,Oslo Metropolitan University (OsloMet),Norway,,
930,University of Bucharest,Romania,,
933,Czech Technical University Prague,Czech Republic,,
933,"Universidad de la Republica, Uruguay",Uruguay,,
933,Universitat de Girona,Spain,,
933,University of Nairobi,Kenya,,
937,Aswan University,Egypt,,
937,Dongguk University,South Korea,,
937,Heriot-Watt University,United Kingdom,,
937,Kent State University,United States,,
937,Mazandaran University of Medical Sciences,Iran,,
937,Norwegian University of Life Sciences,Norway,,
937,Rensselaer Polytechnic Institute,United States,,
937,Shandong Normal University,China,,
937,Taipei Medical University,Taiwan,,
937,Universidad de Malaga,Spain,,
937,University of Debrecen,Hungary,,
937,University of Greenwich,United Kingdom,,
937,University of Mons,Belgium,,
937,University of Thessaly,Greece,,
951,Carlos III University of Madrid,Spain,,
951,"International Islamic University, Pakistan",Pakistan,,
951,New Mexico State University,United States,,
951,Universite Savoie Mont Blanc,France,,
951,University of Split,Croatia,,
956,Bohai University,China,,
956,University of Sfax,Tunisia,,
956,Wroclaw Medical University,Taiwan,,
959,Amity University Uttar Pradesh,India,,
959,Harbin Medical University,China,,
959,Tomsk Polytechnic University,Russia,,
959,Universite de Bretagne Occidentale,France,,
959,University of Oviedo,Spain,,
959,Vilnius University,Lithuania,,
959,Western Norway University of Applied Sciences,Norway,,
966,Chongqing University of Posts & Telecommunications,China,,
966,Transilvania University of Brasov,Romania,,
966,University of Kragujevac,Serbia,,
966,University of Texas Rio Grande Valley,United States,,
970,Bangor University,United Kingdom,,
970,Universidade Federal do Parana,Brazil,,
972,Shanghai Normal University,China,,
972,Vienna University of Economics & Business,Austria,,
974,Hosei University,Japan,,
974,Istanbul Bilgi University,Turkey,,
974,Mohammed VI Polytechnic University,,,
974,Okayama University,Japan,,
974,University of the Free State,South Africa,,
979,Airlangga University,Indonesia,,
979,Braunschweig University of Technology,Germany,,
